date,depth,mag,place,latitude,longitude,depth_avg_22,depth_avg_15,depth_avg_7,mag_avg_22,mag_avg_15,mag_avg_7,mag_outcome
2020-08-10,11.7,1.01,Idaho,44.2482255272152,-114.799450843038,11.9009090909091,9.97866666666666,10.5271428571429,2.32272727272727,2.28466666666667,2.5,
2020-08-10,21.03,2.9,Idaho,44.2482255272152,-114.799450843038,12.1022727272727,10.7413333333333,12.1028571428571,2.35681818181818,2.34866666666667,2.31428571428571,
2020-08-08,50.79,4.2,Indonesia,-4.18616593406593,119.93117032967,52.3054545454545,38.8246666666667,32.6085714285715,4.71363636363636,4.76666666666667,4.75714285714286,
2020-08-08,10.0,4.6,Indonesia,-4.18616593406593,119.93117032967,44.4581818181818,36.6193333333334,32.6085714285715,4.73181818181818,4.77333333333334,4.72857142857143,
2020-08-08,43.35,4.6,Indonesia,-4.18616593406593,119.93117032967,42.6459090909091,36.666,37.3728571428572,4.75454545454545,4.76,4.67142857142857,
2020-08-09,10.0,4.9,Indonesia,-4.18616593406593,119.93117032967,37.3377272727273,36.666,37.3728571428572,4.78636363636364,4.72666666666667,4.61428571428572,
2020-08-09,35.0,4.6,Indonesia,-4.18616593406593,119.93117032967,37.3009090909091,35.8153333333334,40.9442857142858,4.77272727272727,4.71333333333334,4.67142857142857,
2020-08-09,10.0,4.7,Indonesia,-4.18616593406593,119.93117032967,34.2481818181818,33.7933333333334,40.9442857142858,4.77727272727273,4.72666666666667,4.64285714285715,
2020-08-11,48.37,4.5,Indonesia,-4.18616593406593,119.93117032967,34.0495454545455,34.7373333333334,29.6442857142858,4.75,4.72666666666667,4.58571428571429,
2020-08-07,-2.0,1.21,Montana,46.075473116129,-112.233597045161,4.52636363636364,4.19066666666667,2.29857142857144,0.961363636363636,0.944000000000001,1.34428571428571,
2020-08-08,4.32,1.79,Montana,46.075473116129,-112.233597045161,4.49545454545455,3.24133333333334,2.14285714285715,1.01045454545455,1.02266666666667,1.51571428571429,
2020-08-09,2.08,0.69,Montana,46.075473116129,-112.233597045161,4.57454545454546,2.97733333333334,2.72571428571429,0.980909090909091,1.04533333333333,1.36,
2020-08-09,10.25,1.47,Montana,46.075473116129,-112.233597045161,4.45909090909091,3.51933333333334,3.71142857142858,1.00272727272727,1.11,1.27857142857143,
2020-08-10,16.4,0.21,Montana,46.075473116129,-112.233597045161,5.04454545454546,4.44333333333334,6.07857142857144,1.04090909090909,1.10466666666667,1.07142857142857,
2020-08-10,-2.0,1.66,Montana,46.075473116129,-112.233597045161,4.75,4.16333333333334,5.01714285714286,1.06272727272727,1.18266666666667,1.26857142857143,
2020-08-10,12.17,1.11,Montana,46.075473116129,-112.233597045161,5.39409090909091,4.72466666666667,5.88857142857144,1.03636363636364,1.20133333333333,1.16285714285714,
2020-08-11,9.3,1.0,Nevada,38.177046557535,-117.932015808041,8.30454545454545,6.94666666666668,9.51428571428574,1.17272727272727,1.16,1.15714285714286,
2020-08-11,5.7,0.8,Nevada,38.177046557535,-117.932015808041,7.05454545454544,6.43333333333335,8.88571428571432,1.16363636363636,1.12666666666666,1.11428571428571,
2020-08-11,1.9,0.7,Nevada,38.177046557535,-117.932015808041,6.69090909090908,6.56000000000001,7.35714285714289,1.14545454545455,1.08666666666666,1.11428571428571,
2020-08-11,11.6,1.9,Nevada,38.177046557535,-117.932015808041,6.73636363636363,7.09333333333335,7.35714285714289,1.16818181818182,1.12666666666666,1.24285714285714,
2020-08-11,22.7,0.9,Nevada,38.177046557535,-117.932015808041,7.30454545454544,8.19333333333335,9.6714285714286,1.14545454545455,1.09333333333333,1.25714285714286,
2020-08-11,12.1,1.3,Nevada,38.177046557535,-117.932015808041,7.79545454545453,8.86666666666668,10.4857142857143,1.17727272727273,1.13333333333333,1.17142857142857,
2020-08-11,6.8,0.5,Nevada,38.177046557535,-117.932015808041,8.0090909090909,8.98666666666668,10.0142857142857,1.14545454545455,1.08666666666666,1.01428571428571,
2020-08-10,-0.52,1.74,Oregon,44.0446826272716,-122.684227514118,6.03272726839239,3.48199999872844,2.62714285714286,1.41318182045455,1.245333336,1.05142857142857,
2020-08-10,13.78,1.4,Oregon,44.0446826272716,-122.684227514118,5.57727272293784,4.08266666666667,4.66428571428572,1.41227272954545,1.26666666666667,1.08428571428571,
2020-08-02,22.52,3.9,Chile,-24.5156,-70.037144680851,71.9290909090909,67.1933333333334,70.1171428571429,4.29090909090909,4.22666666666667,4.02857142857143,
2020-08-03,104.18,5.5,Chile,-24.5156,-70.037144680851,73.1704545454545,73.472,78.3014285714286,4.34545454545454,4.31333333333333,4.21428571428571,
2020-08-03,97.54,4.9,Chile,-24.5156,-70.037144680851,71.9327272727273,68.718,74.8885714285715,4.34545454545454,4.35333333333333,4.34285714285714,
2020-08-06,40.52,4.2,Chile,-24.5156,-70.037144680851,69.0990909090909,63.8166666666667,62.8371428571429,4.34090909090909,4.36,4.3,
2020-08-07,155.86,4.1,Chile,-24.5156,-70.037144680851,70.4940909090909,67.0406666666667,80.63,4.33181818181818,4.34,4.44285714285714,
2020-08-07,123.45,4.7,Chile,-24.5156,-70.037144680851,74.3472727272727,72.9373333333334,79.1528571428572,4.36363636363636,4.34666666666667,4.48571428571429,
2020-08-10,30.47,4.6,Chile,-24.5156,-70.037144680851,71.36,74.302,82.0771428571429,4.36363636363636,4.36,4.55714285714286,
2020-07-30,63.88,4.5,Philippines,7.50714193548387,125.354825806452,96.065,117.638666666667,58.0928571428571,4.51818181818182,4.6,4.75714285714286,
2020-07-31,46.19,5.6,Philippines,7.50714193548387,125.354825806452,97.71,120.051333333333,50.6057142857143,4.58181818181818,4.66666666666667,4.81428571428571,
2020-08-01,480.6,6.4,Philippines,7.50714193548387,125.354825806452,117.328181818182,144.930666666667,105.522857142857,4.67727272727273,4.82,5.1,
2020-08-02,99.1,4.4,Philippines,7.50714193548387,125.354825806452,119.456818181818,143.612666666667,113.595714285714,4.68181818181818,4.84666666666667,4.9,
2020-08-02,129.3,4.9,Philippines,7.50714193548387,125.354825806452,122.825,149.899333333333,124.61,4.71363636363636,4.86,4.95714285714286,
2020-08-06,61.48,4.8,Philippines,7.50714193548387,125.354825806452,121.076363636364,153.499333333333,131.964285714286,4.73181818181818,4.88,5.01428571428571,
